lane_id,lane_name,node_id,count_id,lat,lon,local_x,local_y,point_index,north_west_south_east,in_ring_out,projected_x,projected_y
4614,NorthExit,4597,13,43.47753350368,-80.54816818088,36541.6018,13945.441,13,0,2,536541.6018003366,4813945.4409582885
4614,NorthExit,4598,14,43.47753878739,-80.5481752377,36541.0279,13946.0247,14,0,2,536541.0278999705,4813946.024658672
4614,NorthExit,4599,15,43.47754424209,-80.54818204471,36540.4741,13946.6275,15,0,2,536540.4740999037,4813946.627458499
4614,NorthExit,4600,16,43.47754969589,-80.54818885296,36539.9202,13947.2302,16,0,2,536539.9202001941,4813947.230157875
4614,NorthExit,4601,17,43.47755548323,-80.5481950714,36539.4138,13947.8702,17,0,2,536539.4138001293,4813947.870158333
4614,NorthExit,4602,18,43.47756178896,-80.54820031534,36538.9859,13948.5682,18,0,2,536538.9858998923,4813948.568157699
4614,NorthExit,4615,19,43.47756675772,-80.54820719522,36538.4265,13949.117,19,0,2,536538.4264997112,4813949.116958293
4614,NorthExit,4616,20,43.47757172557,-80.54821407387,36537.8672,13949.6657,20,0,2,536537.8671996456,4813949.665658412
4614,NorthExit,4617,21,43.47757669432,-80.54822095251,36537.3079,13950.2145,21,0,2,536537.3078999374,4813950.2144585345
4614,NorthExit,4618,22,43.47758166217,-80.5482278324,36536.7485,13950.7632,22,0,2,536536.7484997686,4813950.763158202
4614,NorthExit,3776,23,43.47758663092,-80.54823471104,36536.1892,13951.312,23,0,2,536536.1892002422,4813951.311958415
4614,NorthExit,3777,24,43.47759463099,-80.548240113,36535.7475,13952.1981,24,0,2,536535.7474999019,4813952.1980583165
4614,NorthExit,3778,25,43.47760263196,-80.54824551495,36535.3058,13953.0843,25,0,2,536535.3057999447,4813953.084258205
4614,NorthExit,3779,26,43.47761063293,-80.54825091566,36534.8642,13953.9705,26,0,2,536534.8642003839,4813953.970458665
4614,NorthExit,3780,27,43.477618633,-80.54825631762,36534.4225,13954.8566,27,0,2,536534.4225003883,4813954.856558657
4614,NorthExit,3781,28,43.47762663397,-80.54826171958,36533.9808,13955.7428,28,0,2,536533.9807999651,4813955.742758628
4614,NorthExit,3782,29,43.47763463493,-80.5482671203,36533.5392,13956.629,29,0,2,536533.5391999463,4813956.628958064
4614,NorthExit,3783,30,43.4776426359,-80.54827252226,36533.0975,13957.5152,30,0,2,536533.0974997514,4813957.515158094
4614,NorthExit,3784,31,43.47765063597,-80.54827792299,36532.6559,13958.4013,31,0,2,536532.6558996902,4813958.4012587415
4614,NorthExit,3785,32,43.47765863693,-80.54828332495,36532.2142,13959.2875,32,0,2,536532.2141997304,4813959.287457723
4614,NorthExit,3786,33,43.4776666379,-80.54828872691,36531.7725,13960.1737,33,0,2,536531.7724998802,4813960.17365784
4614,NorthExit,3787,34,43.47767463887,-80.54829412764,36531.3309,13961.0599,34,0,2,536531.3308996186,4813961.059858529
4614,NorthExit,3788,35,43.47768266656,-80.54829945645,36530.8951,13961.9491,35,0,2,536530.8950998513,4813961.9490582645
4614,NorthExit,3789,36,43.47769070493,-80.54830475303,36530.4619,13962.8395,36,0,2,536530.4619003384,4813962.839458264
4614,NorthExit,3790,37,43.4776987433,-80.54831005086,36530.0286,13963.7299,37,0,2,536530.0285998461,4813963.729857746
4614,NorthExit,3791,38,43.47770678168,-80.54831534868,36529.5953,13964.6203,38,0,2,536529.5953002681,4813964.620258369
4614,NorthExit,3792,39,43.47771482005,-80.54832064651,36529.162,13965.5107,39,0,2,536529.1620000015,4813965.510657905
4614,NorthExit,3793,40,43.47772285933,-80.54832594433,36528.7287,13966.4012,40,0,2,536528.7287001084,4813966.401158538
4614,NorthExit,3794,41,43.4777308977,-80.54833124216,36528.2954,13967.2916,41,0,2,536528.2954000664,4813967.291558132
4614,NorthExit,3795,42,43.47773893607,-80.54833653999,36527.8621,13968.182,42,0,2,536527.8621001386,4813968.181957754
4614,NorthExit,3796,43,43.47774697445,-80.54834183782,36527.4288,13969.0724,43,0,2,536527.4288003175,4813969.072358517
4614,NorthExit,3797,44,43.47775501282,-80.54834713566,36526.9955,13969.9628,44,0,2,536526.9954998066,4813969.962758191
4614,NorthExit,3798,45,43.47776305119,-80.54835243226,36526.5623,13970.8532,45,0,2,536526.5622996923,4813970.8531584395
4614,NorthExit,3799,46,43.47777109046,-80.54835773009,36526.129,13971.7437,46,0,2,536526.1289996727,4813971.743658127
4614,NorthExit,3800,47,43.47777912883,-80.54836302792,36525.6957,13972.6341,47,0,2,536525.6957003092,4813972.6340578925
4614,NorthExit,3801,48,43.4777871672,-80.54836832576,36525.2624,13973.5245,48,0,2,536525.2624002511,4813973.524457681
4614,NorthExit,3802,49,43.47779518955,-80.54837366947,36524.8254,13974.4131,49,0,2,536524.8254002591,4813974.413058232
4614,NorthExit,3803,50,43.47780320833,-80.54837902187,36524.3877,13975.3013,50,0,2,536524.3876997355,4813975.301258524
4614,NorthExit,3804,51,43.47781122711,-80.5483843755,36523.9499,13976.1895,51,0,2,536523.9498998508,4813976.189458303
4614,NorthExit,3805,52,43.47781924589,-80.54838972789,36523.5122,13977.0777,52,0,2,536523.5122003654,4813977.077658658
4614,NorthExit,3806,53,43.47782726377,-80.54839508154,36523.0744,13977.9658,53,0,2,536523.074399633,4813977.965758537
4614,NorthExit,3807,54,43.47783528254,-80.54840043393,36522.6367,13978.854,54,0,2,536522.6367003802,4813978.8539578365
4614,NorthExit,3808,55,43.47784330132,-80.54840578757,36522.1989,13979.7422,55,0,2,536522.198900141,4813979.74215773
4614,NorthExit,3809,56,43.4778513201,-80.54841113997,36521.7612,13980.6304,56,0,2,536521.7612003011,4813980.630358196
4614,NorthExit,3810,57,43.47785933888,-80.54841649361,36521.3234,13981.5186,57,0,2,536521.3234002906,4813981.518558147
4614,NorthExit,3811,58,43.47786735766,-80.54842184602,36520.8857,13982.4068,58,0,2,536520.8856998696,4813982.406758667
4614,NorthExit,3812,59,43.47787537644,-80.54842719966,36520.4479,13983.295,59,0,2,536520.4479000877,4813983.294958674
4053,SouthEntry,4060,0,43.47604060607,-80.54718598543,36621.9379,13780.0746,0,2,0,536621.9378996291,4813780.074558453
4053,SouthEntry,4061,1,43.47604865952,-80.54719143988,36621.4919,13780.9666,1,2,0,536621.4918996557,4813780.966557807
4053,SouthEntry,4062,2,43.47605671298,-80.54719689433,36621.0459,13781.8586,2,2,0,536621.0458997926,4813781.858558301
4053,SouthEntry,4063,3,43.47606476733,-80.54720234877,36620.5999,13782.7507,3,2,0,536620.5999003173,4813782.750657669
4053,SouthEntry,4064,4,43.47607282078,-80.54720780199,36620.154,13783.6427,4,2,0,536620.1540001719,4813783.642657653
4053,SouthEntry,4065,5,43.47608087514,-80.54721325644,36619.708,13784.5348,5,2,0,536619.7080001137,4813784.53475819
4053,SouthEntry,4066,6,43.47608893217,-80.54721870345,36619.2626,13785.4272,6,2,0,536619.2626002812,4813785.427158552
4053,SouthEntry,4067,7,43.47609699008,-80.54722414675,36618.8175,13786.3197,7,2,0,536618.8175000851,4813786.319658305
4053,SouthEntry,4068,8,43.476105048,-80.54722959129,36618.3723,13787.2122,8,2,0,536618.3722997108,4813787.212158655
4053,SouthEntry,4069,9,43.47611310501,-80.54723503459,36617.9272,13788.1046,9,2,0,536617.9272002907,4813788.104558516
4053,SouthEntry,4070,10,43.47612116292,-80.54724047913,36617.482,13788.9971,10,2,0,536617.4820001571,4813788.997057817
4053,SouthEntry,4071,11,43.47612922084,-80.54724592367,36617.0368,13789.8896,11,2,0,536617.0368001318,4813789.889558255
4053,SouthEntry,4072,12,43.47613727875,-80.54725136698,36616.5917,13790.7821,12,2,0,536616.5916997085,4813790.782058155
4053,SouthEntry,4073,13,43.47614533667,-80.54725681152,36616.1465,13791.6746,13,2,0,536616.1464999167,4813791.6745586535
4053,SouthEntry,4074,14,43.47615339458,-80.54726225483,36615.7014,13792.5671,14,2,0,536615.701399726,4813792.567058613
4053,SouthEntry,4075,15,43.47616145249,-80.54726769937,36615.2562,13793.4596,15,2,0,536615.2562001729,4813793.459558062
4053,SouthEntry,4076,16,43.4761695104,-80.54727314268,36614.8111,13794.3521,16,2,0,536614.8111002147,4813794.35205808
4053,SouthEntry,4077,17,43.47617756832,-80.54727858723,36614.3659,13795.2446,17,2,0,536614.3659000796,4813795.244558695
4053,SouthEntry,4078,18,43.47618562622,-80.54728403054,36613.9208,13796.1371,18,2,0,536613.920800359,4813796.137057665
4053,SouthEntry,4079,19,43.47619368414,-80.5472894751,36613.4756,13797.0296,19,2,0,536613.4755996477,4813797.0295583345
4053,SouthEntry,4080,20,43.47620174205,-80.54729491965,36613.0304,13797.9221,20,2,0,536613.0303998685,4813797.9220579285
4053,SouthEntry,4081,21,43.47620979996,-80.54730036297,36612.5853,13798.8146,21,2,0,536612.5852996821,4813798.814558094
4053,SouthEntry,4082,22,43.47621785787,-80.54730580752,36612.1401,13799.7071,22,2,0,536612.1401001345,4813799.707057748
4053,SouthEntry,4083,23,43.47622591488,-80.54731125085,36611.695,13800.5995,23,2,0,536611.6949999164,4813800.5994580155
4053,SouthEntry,4084,24,43.47623397279,-80.54731669541,36611.2498,13801.492,24,2,0,536611.2497997927,4813801.491957725
4053,SouthEntry,4085,25,43.4762420307,-80.54732213873,36610.8047,13802.3845,25,2,0,536610.8047000724,4813802.38445801
4053,SouthEntry,4086,26,43.47625008149,-80.54732760313,36610.3579,13803.2762,26,2,0,536610.3578998965,4813803.276158326
4053,SouthEntry,4087,27,43.47625812337,-80.54733309356,36609.909,13804.1669,27,2,0,536609.9090000113,4813804.166857702
4053,SouthEntry,4088,28,43.47626616526,-80.54733858399,36609.4601,13805.0576,28,2,0,536609.4601002372,4813805.05755822
4053,SouthEntry,4089,29,43.47627420624,-80.54734407443,36609.0112,13805.9482,29,2,0,536609.0112003207,4813805.948157702
4053,SouthEntry,4090,30,43.47628224813,-80.54734956487,36608.5623,13806.8389,30,2,0,536608.5622999719,4813806.838858277
4053,SouthEntry,4091,31,43.47629028911,-80.54735505531,36608.1134,13807.7295,31,2,0,536608.1134002886,4813807.729457818
4053,SouthEntry,4092,32,43.476298331,-80.54736054575,36607.6645,13808.6202,32,2,0,536607.664500175,4813808.620158454
